nombre,descripcion,presentacion,uso,dosis,efectos_secundarios,advertencias,consultar,sinonimos,
paracetamol,Analgésico y antipirético de uso común,Tabletas 500–750 mg; jarabe en pediatría,Dolor leve a moderado y fiebre,"Adultos: 500–1,000 mg cada 6–8 h (máx. 3,000–4,000 mg/día según etiqueta)","Náuseas, malestar gástrico poco frecuente",Evitar dosis altas o alcohol; precaución en hepatopatía,"Si fiebre >48 h, dolor intenso, embarazo o enfermedad hepática",acetaminofen|tylenol|panadol|tempra,
ibuprofeno,AINE analgésico, antipirético y antiinflamatorio,Tabletas/cápsulas 200–400 mg; suspensión,"Dolor musculoesquelético, cefalea, dismenorrea, fiebre","Adultos: 200–400 mg cada 6–8 h (máx. 1,200 mg/día OTC)","Molestias gástricas, mareo","Evitar en úlcera, insuficiencia renal, 3er trimestre de embarazo","Dolor >3 días, fiebre alta, sangrado GI",ibu|advil|motrin
naproxeno,AINE para dolor e inflamación,Tabletas 250–500 mg,"Dolor de espalda, muscular, dental; dismenorrea",Adultos: 250–500 mg cada 12 h (según etiqueta),"Gastritis, mareo",Tomar con alimentos; evitar en úlcera,Dolor severo o síntomas de sangrado,aleve|naxen|apronax,
diclofenaco,AINE analgésico y antiinflamatorio,Tabletas 50 mg; gel tópico 1%,"Dolor muscular, articular; esguinces (gel)",Oral según etiqueta; gel: capa fina 3–4 veces/día,"Irritación GI (oral), irritación local (gel)",Evitar uso prolongado oral sin control médico,Dolor persistente o reacción cutánea intensa,voltaren,
ketorolaco,AINE potente para dolor agudo (uso corto),Tabletas 10 mg,Dolor agudo moderado a severo,Según indicación médica,Riesgo GI y renal aumentados,No automedicar; límite de días de uso,Siempre requerir valoración profesional,,
loratadina,Antihistamínico no sedante,Tabletas 10 mg; jarabe,"Rinitis alérgica, urticaria",Adultos: 10 mg una vez al día,"Somnolencia leve, sequedad de boca",Precaución en hepatopatía,Síntomas respiratorios severos,claritin,
cetirizina,Antihistamínico con leve sedación,Tabletas 10 mg; solución,"Alergia, rinitis, urticaria",Adultos: 10 mg una vez al día,"Somnolencia, boca seca",Cuidado al conducir si causa somnolencia,Empeoramiento o falta de control,zyrtec,
clorfeniramina,Antihistamínico de primera generación (sedante),Tabletas 4 mg; jarabe,Rinitis alérgica; parte de antigripales,Adultos: 4 mg cada 6–8 h,"Somnolencia marcada, boca seca",Evitar alcohol y conducción,Sedación excesiva o reacciones,,
omeprazol,Inhibidor de bomba de protones para acidez/reflujo,Cápsulas 20 mg,"Acidez frecuente, ERGE leve",Adultos: 20 mg una vez al día por 14 días,"Cefalea, malestar abdominal",No usar crónicamente sin control médico,"Disfagia, pérdida de peso, vómitos persistentes",losec|prilosec,
famotidina,Antagonista H2 para acidez ocasional,Tabletas 20 mg,"Acidez leve, indigestión",Adultos: 10–20 mg según etiqueta,"Cefalea, mareo",Consultar si uso frecuente,Síntomas de alarma digestiva,pepcid,
metoclopramida,Antiemético procinético,Tabletas 10 mg,Náuseas/vómitos (bajo criterio médico),Adultos: 10 mg hasta 3 veces/día,"Somnolencia, acatisia",Evitar uso prolongado,Síntomas neurológicos o vómitos persistentes,,
domperidona,Antiemético con acción procinética,Tabletas 10 mg,Náuseas (según indicación médica),Según etiqueta / prescripción,"Cefalea, sequedad de boca",Riesgo cardíaco a dosis altas/uso prolongado,"Palpitaciones, mareos, síncope",,
loperamida,Antidiarreico sintomático,Tabletas/cápsulas 2 mg,Diarrea aguda no complicada,2 mg tras cada deposición (máx. 8 mg/día),"Estreñimiento, cólicos",Hidratación adecuada; no usar si hay sangre/fiebre,Si dura >48 h o empeora,imodium,
sueros orales,Sales de rehidratación oral,Sobres para disolver en agua,Deshidratación por diarrea/vómitos,Según etiqueta y pérdidas,Raros; sabor salado,Preparar con agua segura y cantidades indicadas,"Deshidratación moderada-severa, niños/ancianos",vida suero oral|electrolit,
butilescopolamina,Antiespasmódico digestivo,Tabletas 10 mg,Cólicos y espasmos abdominales,10–20 mg cada 6–8 h,"Sequedad de boca, visión borrosa",Evitar en glaucoma o hiperplasia prostática,Dolor severo con fiebre o sangre,buscapina|buscopan,
simeticona,Antiflatulento,"Gotas, tabletas masticables",Distensión por gases,Según etiqueta (tras comidas y antes de dormir),Raros,Usar según necesidad,Dolor persistente,,
dextrometorfano,Antitusivo para tos seca,Jarabe; tabletas,Tos no productiva,10–20 mg cada 4–6 h (según etiqueta),"Somnolencia, mareo",No combinar con ISRS/IMAOs; evitar en niños pequeños,"Tos persistente, con sangre o disnea",vick 44,
guaifenesina,Expectorante para tos productiva,Jarabe; tabletas,Facilita expulsión de moco,Según etiqueta,"Náuseas, somnolencia leve",Hidratación mejora eficacia,Síntomas >7–10 días,robitussin,
ambroxol,Mucolítico/expectorante,Jarabe; tabletas,Secreciones respiratorias espesas,Según etiqueta,"Dolor abdominal, náuseas",No usar innecesariamente en tos leve,Empeoramiento respiratorio,mucosolvan,
oximetazolina,Descongestionante nasal tópico,Spray nasal 0.05%,Congestión nasal,1–2 aplicaciones cada 12 h (máx. 3 días),"Ardor nasal, estornudos",Riesgo de rebote si se abusa,"Dolor facial intenso, fiebre alta",afrin|sinex|sinex,
